brand_name,processor_brand,ram,os,storage,prices
0,0,0,0,0,29999
0,1,0,0,5,39990
0,1,0,0,1,43000
0,4,0,0,1,62990
0,2,0,0,1,65990
0,3,1,0,1,48990
0,1,0,6,1,30100
0,2,1,0,1,66498
0,4,1,0,1,108490
0,2,1,0,1,76999
0,3,0,0,1,79990
0,1,0,0,1,40800
0,2,1,0,1,62990
0,10,1,0,1,94990
0,2,1,0,1,60990
0,3,1,0,1,49990
0,3,1,0,1,49550
0,10,1,0,2,154080
0,10,4,0,2,198990
0,2,0,0,1,112000
0,10,1,0,1,125990
0,4,1,0,1,107699
0,4,0,0,1,78990
0,10,1,0,2,93990
0,5,4,0,9,298990
0,3,0,3,1,59000
0,2,1,0,1,124425
0,2,0,0,1,58400
0,1,0,0,1,39490
0,0,0,0,0,25190
0,0,0,0,0,35500
0,0,0,0,5,35888
0,9,1,0,1,90999
0,10,1,0,2,176699
0,10,1,0,2,166399
0,0,0,0,1,34000
0,1,0,0,0,45990
0,10,1,0,2,89990
0,3,0,0,1,67900
0,4,1,0,2,103500
0,2,1,0,1,74990
0,2,1,0,1,71990
0,3,0,0,1,61890
0,3,0,3,4,54890
0,2,1,0,1,71499
0,1,0,6,1,36500
0,10,0,0,1,82990
0,3,0,0,1,59990
0,0,0,0,1,29490
0,3,0,0,1,67990
0,3,0,0,1,74000
0,4,1,0,1,99990
0,4,0,0,1,95190
0,0,0,0,0,35999
0,4,0,0,1,74990
0,2,0,0,1,76800
0,10,1,0,1,103699
0,3,0,0,1,82990
0,4,1,0,1,104500
0,3,0,3,1,74999
0,4,1,0,1,106199
0,1,0,0,1,40990
0,4,1,0,1,82990
0,1,0,0,0,39990
0,1,0,0,1,36990
0,10,1,0,1,92890
0,2,1,0,1,62990
0,4,1,0,2,79990
0,3,0,0,1,82500
0,4,1,0,1,94500
0,2,0,6,4,50740
0,2,0,0,1,48990
0,1,0,6,1,26490
0,3,1,0,1,69990
0,5,4,0,9,298000
0,2,1,0,2,79990
0,2,0,0,1,57990
0,0,2,0,5,26990
0,9,1,0,2,120000
0,2,0,0,1,56999
0,0,0,0,0,29110
0,10,1,0,1,109999
0,2,1,0,1,78999
0,10,1,0,2,138999
0,0,0,0,0,35999
0,9,1,0,1,82999
0,3,0,0,1,65999
0,1,0,0,0,45999
0,1,0,0,1,34990
0,2,1,0,1,76490
0,5,4,0,2,155390
0,1,0,0,1,44790
0,4,1,0,1,56990
0,10,1,0,2,170399
0,2,0,0,1,69990
0,0,0,0,5,35500
0,2,1,0,1,78500
0,0,0,0,0,35500
0,2,1,0,1,81990
0,2,0,0,1,81490
0,2,1,0,1,89490
0,10,1,0,1,103990
0,4,1,0,2,135499
0,10,1,0,2,108990
0,2,1,0,1,93990
0,3,0,0,1,79500
0,2,1,0,1,85490
0,10,1,0,2,113990
0,10,4,0,5,195000
0,0,0,0,1,28790
0,1,0,0,1,39990
0,2,0,0,1,59990
0,1,0,0,1,39990
0,3,1,0,1,69990
0,3,1,0,1,95990
0,1,0,0,5,40990
0,2,1,0,1,71990
0,2,1,0,1,79990
0,10,1,0,1,85990
0,10,1,0,2,161000
0,3,1,0,1,65000
0,10,1,0,2,84990
0,0,0,0,5,36990
0,2,0,0,1,61990
0,2,0,6,4,54999
0,0,2,6,10,27000
0,10,0,0,1,83990
0,6,0,0,1,40490
0,0,2,0,0,24999
0,4,0,0,1,52999
0,6,0,0,1,46990
0,6,0,0,1,41990
0,6,0,0,1,51266
0,6,1,0,1,50490
0,2,0,0,1,61990
0,6,0,0,1,58831
0,6,0,0,1,45990
0,1,0,6,5,33990
0,3,0,0,1,43290
0,10,1,0,1,114990
0,10,4,0,2,213582
0,2,0,0,2,78477
0,3,0,0,1,52990
0,6,1,0,1,62527
0,10,1,0,2,102918
0,10,1,0,1,91141
0,1,0,0,1,38190
0,1,0,6,1,28999
0,2,0,0,2,67490
0,10,1,0,2,85990
0,1,0,0,1,39990
0,6,0,0,1,35990
0,0,3,0,3,39990
0,3,3,0,3,50990
0,10,3,1,0,119699
0,3,0,3,1,60499
0,7,2,4,6,23990
0,7,2,4,0,30016
0,7,5,4,0,25999
0,7,2,4,6,23990
0,3,0,3,1,61999
0,2,0,1,1,58610
0,1,0,0,1,41990
0,2,1,0,1,63490
0,2,1,0,1,72199
0,3,0,0,1,62999
0,3,0,0,1,59999
0,2,0,0,1,59490
0,1,0,0,1,40990
0,1,0,3,5,39999
0,2,1,3,1,79999
0,2,0,3,1,49999
0,3,0,3,1,68997
0,2,1,3,1,72999
0,2,1,0,1,65618
0,6,0,0,1,37400
0,0,2,6,0,20999
0,2,0,0,1,64999
0,2,1,0,1,57990
0,6,0,0,1,37990
0,0,2,0,0,25999
0,10,0,0,1,85990
0,3,0,3,1,58900
0,1,0,0,0,38890
0,3,0,0,1,45490
0,0,0,0,0,30300
0,2,0,3,1,81500
0,2,0,0,1,63890
0,9,1,0,2,93000
0,1,0,0,1,52990
0,1,0,0,1,40990
0,3,0,0,1,74490
0,4,1,0,1,103999
0,9,1,0,2,126599
0,9,1,0,2,124500
0,1,0,0,5,40200
0,4,1,0,2,118999
0,4,1,0,1,89500
