0,1,2,3,4,5
"Asus HN113WS TUF Gaming A15 Gaming Laptop (AMD Ryzen 5 4600H/16 GB/512 GB SSD/4 GB/Nvidia GeForce GTX 1650 Graphics/Windows 11 Home/MSO/FHD), 39.62 cm (15.6 Inch)",AMD Ryzen 5 4600H, 16 GB, Windows 11 Home,512 gb ssd,58990
"Dell Inspiron 5518 Thin & Light Laptop (11th Gen Intel Core i5-11320H/8 GB/512 GB SSD/2 GB/Nvidia GeForec MX450/Windows 11 Home/MSO/FHD), 39.62 cm (15.6 inch)",11th Gen Intel Core i5-11320H, 8 GB, Windows 11 Home,512 gb ssd,66999
"Asus Vivobook 15 EJ322WS Laptop (11th Gen Intel Core i3-1115G4/8 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home/MSO/FHD), 39.62 cm (15.6 Inch)",11th Gen Intel Core i3-1115G4, 8 GB, Windows 11 Home,512 gb ssd,38990
"Dell 3511 Inspiron Laptop (11th Gen Intel Core i5-1135G7/16GB/512GB SSD/2 GB Nvidia GeForce MX350 Graphics/Windows 11/MSO/FHD), 39.62 cm (15.6 inch)",11th Gen Intel Core i5-1135G7, 16GB, Windows 11,512gb ssd,65199
"Dell Inspiron 7425 Convertible Laptop (AMD Ryzen 5 5625U/8 GB RAM/512 GB SSD/Windows 11 Home/MSO/FHD), 35.56 cm (14 Inch)",AMD Ryzen 5 5625U Hexa Core, 8 GB, Windows 11 Home,512 gb ssd,79990
"Dell Inspiron 3511 Laptop (11th Gen Intel i3-1115G4/8GB/512GB SSD/Integrated Graphics/Windows 11/MSO/FHD), 39.6 cm (15.6 inch)",11th Gen Intel Core i3-1115G4 processor, 8 GB, Windows 11,512 gb ssd,46899
"HP 14s-fq1092AU Laptop (AMD Ryzen 5 5500U/ 8 GB/512 GB SSD/AMD Radeon Graphics/Windows 11/MSO/FHD),35.56 cm (14 inch)",AMD Ryzen 5 5500U Processor, 8GB , Windows 11,512 gb ssd,47700
"HP Victus 16-e0352AX Gaming Laptop (AMD Ryzen 5 5600H/8GB RAM/512GB SSD/4GB Nvidia GeForce GTX 1650 Graphics/Windows 11 Home/MSO/FHD), 40.9 cm (16.1 Inch), Mica Silver",AMD Ryzen 5 5600H Processor, 8 GB,,512 gb ssd,59999
"HP 14s-dq3032tu Thin & Light Laptop (Intel Celeron N4500/8GB/256GB SSD/Intel UHD Graphics/Windows 11/MSO/HD), 35.56 cm (14 inch)",Intel Celeron N4500 Processor, 8GB, Windows 11,256gb ssd,29999
"HP 15s-fr2514TU Laptop (11th Gen Intel Core i3-1115G4/8 GB/256 GB SSD/Integrated Intel UHD Graphics/Windows 11/MSO/HD), 39.6 cm (15.6 inch)",11th Gen Intel Core i3-1115G4 processor, 8 GB, Windows 11,256 gb ssd,37990
"Asus HX019T ROG Strix G17 Gaming Laptop (AMD Ryzen 7-4800H/8GB/512GB SSD/4 GB Nvidia GeForce GTX 1650/Windows 10/FHD), 43.94 cm (17.3 inch)",Free upgrade to Windows 11 when available, 8GB, Windows 10,512 gb ssd,80799
"Microsoft 5UI-00023 Surface 4 Laptop (AMD Ryzen 7 4980U/8GB/256GB SSD/AMD Radeon Graphics/Windows 10/MSO/), 38.1 cm (15 inch)",Octa Core AMD Ryzen 7 4980U Processor, 8GB, Windows 10,256 gb ssd,124999
"Microsoft 5PB-00023 Surface 4 Laptop (AMD Ryzen 5 4680U/8GB/256GB SSD/AMD Radeon Graphics/Windows 10/MSO/), 34.29 cm (13.5 inch)",Free upgrade to Windows 11* when available, 8 GB,,256 gb ssd,93990
"Dell 3515 Inspiron 15 Standard Laptop (AMD Ryzen 3 3250U Processor/8GB/256GB SSD/AMD Radeon Graphics/Windows 10/MSO/FHD), 39.62 cm (15.6 inch)",39.62 cm (15.6 inch) Full HD Display,,,,40999
"Dell 3511 Inspiron 15 Standard Laptop (11th Gen Intel Core i3-1115G4 Processor/8GB/1TB Hard Drive/Intel UHD Graphics/Windows 10/MSO/FHD), 39.62 cm (15.6 inch)",39.62 cm (15.6 inch) Full HD Display,,,,36749
"Dell 9305 XPS 13 Laptop (11th Gen Intel Core i5-1135G7/16GB/512GB SSD/Intel Iris Xe Graphics/Windows 11/Full HD), 34.29 cm (13.3 inch)",11th Gen Intel Core i5-1135G7 Processor, 16GB, Windows 11,512 gb ssd,79999
"HP 14-dy0053TU Pavilion x360 Convertible Laptop (11th Gen Intel Core i5-1135G7/16GB/512GB SSD/Intel Iris Xe Graphics/Windows 10/MSO/Full HD), 35.56 cm (14 inch)",11th Gen Intel Core i5-1135G7 Processor, 16GB, Windows 10,512 gb ssd,73999
"Lenovo 13IN IdeaPad 3i Laptop (10th Gen Intel Core i3-10110U/4GB/256GB SSD/Intel UHD Graphics/Windows 10/MSO/Full HD), 39.62 cm (15.6 inch)",Free upgrade to Windows 11* when available, 4 GB, Windows 10 Home 64,256 gb ssd,33990
"HP Envy x360 E13-AY0508AU Convertible Laptop (AMD Ryzen 7 4700U/16GB/1 TB SSD/AMD Radeon Graphics/Windows 10/FHD/MSO), 33.8 cm (13.3 inch)",AMD Ryzen 7 4700U Processor Processor, 16GB, Windows 10,1 tb ssd,92999
"Lenovo 2EHA IdeaPad Slim 3i Laptop (Intel Celeron N4020/4GB/64GB eMMC 5.1/Intel UHD 600 Graphics/Chrome OS/FHD), 35.56 cm (14 inch)",Intel Celeron N4020 Processor, 4GB, Google Chrome OS,64 gb emmc,23990
"Lenovo 12HA IdeaPad Flex 3i Laptop (Intel Celeron N4500/4GB/128GB eMMC 5.1/Intel UHD Graphics/Chrome OS/HD), 29.46 cm (11.6 inch)",Intel Celeron N4500 Processor, 4GB, Google Chrome OS,128 gb emmc,28490
"Lenovo DGIN IdeaPad Slim 3i Laptop (Intel Core i5-1135G7/8GB/256 GB SSD/Intel Iris Xe Graphics/Windows 10/FHD/MSO), 39.62 cm (15.6 inch)",11th Gen Intel Core i5-1135G7 Processor, 8GB, Windows 10,256 gb ssd,54999
"Acer NX.A1GSI.00D Aspire 5 Laptop (Intel Core i5-1135G7/8GB/512GB SSD/Intel Iris Xe Graphics/Windows 11/MSO/Full HD), 39.6 cm (15.6 inch)",11th Gen Intel Core i5-1135G7 processor, 8GB, Windows 11,512 gb ssd,54499
"Dell 3511 Inspiron 15 Laptop (11th Gen Intel Core i5-1135G7/8GB/1TB HDD+256 GB SSD/2GB/Nvidia GeForce MX350/Windows 11/MSO/FHD), 39.62 cm (15.6 inch)",11th Gen Intel Core i5-1135G7 Processor, 8 GB, Windows 11,1 tb + 256 gb hybrid,63999
"Microsoft 34.29 cm (13.5 inch) Surface Laptop 3 (10th Gen Core i5/8 GB/128 GB), VGY-00021",Free upgrade to Windows 11* when available, 8 GB, Windows 10,128 gb ssd,101999
