0,1,2,3,4,5,brand_name,processor_brand
"Lenovo IdeaPad 5 Laptop (12th Gen Intel Core i5-1235U/16 GB/512 GB SSD/Windows 11 Home/MSO/FHD), 39.62 cm (15.6 Inch)",12th Gen Intel Core i5-1235U 10-Core,16,Windows 11,512 gb ssd,66990.0,lenovo,intel i5 12th
"Asus HN113WS TUF Gaming A15 Gaming Laptop (AMD Ryzen 5 4600H/16 GB/512 GB SSD/4 GB/Nvidia GeForce GTX 1650 Graphics/Windows 11 Home/MSO/FHD), 39.62 cm (15.6 Inch)",AMD Ryzen 5 4600H,16,Windows 11,512 gb ssd,58990.0,asus,amd ryzen  5 
"Dell Inspiron 5518 Thin & Light Laptop (11th Gen Intel Core i5-11320H/8 GB/512 GB SSD/2 GB/Nvidia GeForec MX450/Windows 11 Home/MSO/FHD), 39.62 cm (15.6 inch)",11th Gen Intel Core i5-11320H,8 ,Windows 11,512 gb ssd,66999.0,dell,intel i5 11th
"Asus Vivobook 15 EJ322WS Laptop (11th Gen Intel Core i3-1115G4/8 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home/MSO/FHD), 39.62 cm (15.6 Inch)",11th Gen Intel Core i3-1115G4,8 ,Windows 11,512 gb ssd,38990.0,asus,intel i3 11th
"Dell 3511 Inspiron Laptop (11th Gen Intel Core i5-1135G7/16GB/512GB SSD/2 GB Nvidia GeForce MX350 Graphics/Windows 11/MSO/FHD), 39.62 cm (15.6 inch)",11th Gen Intel Core i5-1135G7,16,Windows 11,512 gb ssd,65199.0,dell,intel i5 11th
"Dell Inspiron 7425 Convertible Laptop (AMD Ryzen 5 5625U/8 GB RAM/512 GB SSD/Windows 11 Home/MSO/FHD), 35.56 cm (14 Inch)",AMD Ryzen 5 5625U Hexa Core,8 ,Windows 11,512 gb ssd,79990.0,dell,amd ryzen  5  hexa
"Dell Inspiron 3511 Laptop (11th Gen Intel i3-1115G4/8GB/512GB SSD/Integrated Graphics/Windows 11/MSO/FHD), 39.6 cm (15.6 inch)",11th Gen Intel Core i3-1115G4 processor,8 ,Windows 11,512 gb ssd,46899.0,dell,intel i3 11th
"HP 14s-fq1092AU Laptop (AMD Ryzen 5 5500U/ 8 GB/512 GB SSD/AMD Radeon Graphics/Windows 11/MSO/FHD),35.56 cm (14 inch)",AMD Ryzen 5 5500U Processor,8 ,Windows 11,512 gb ssd,47700.0,hp,amd ryzen  5 
"HP Victus 16-e0352AX Gaming Laptop (AMD Ryzen 5 5600H/8GB RAM/512GB SSD/4GB Nvidia GeForce GTX 1650 Graphics/Windows 11 Home/MSO/FHD), 40.9 cm (16.1 Inch), Mica Silver",AMD Ryzen 5 5600H Processor,8 ,nan,512 gb ssd,59999.0,hp,amd ryzen  5 
"HP 14s-dq3032tu Thin & Light Laptop (Intel Celeron N4500/8GB/256GB SSD/Intel UHD Graphics/Windows 11/MSO/HD), 35.56 cm (14 inch)",Intel Celeron N4500 Processor,8 ,Windows 11,256 gb ssd,29999.0,hp,intel celeron
"HP 15s-fr2514TU Laptop (11th Gen Intel Core i3-1115G4/8 GB/256 GB SSD/Integrated Intel UHD Graphics/Windows 11/MSO/HD), 39.6 cm (15.6 inch)",11th Gen Intel Core i3-1115G4 processor,8 ,Windows 11,256 gb ssd,37990.0,hp,intel i3 11th
